"Food","Category"
"Abalone","Enjoy"
"Acai Berry","Enjoy"
"Adzuki Beans ","Superfood"
"Alfalfa Sprouts","Avoid"
"Allspice","Enjoy"
"Allulose","Enjoy"
"Almond Milk (Unsweetened)","Enjoy"
"Almonds","Enjoy"
"Aloe Vera Juice","Enjoy"
"Amaranth","Avoid"
"Anchovies","Avoid"
"Apple","Superfood"
"Apple Cider Vinegar","Superfood"
"Apricot","Enjoy"
"Artichoke","Avoid"
"Arugula","Minimize"
"Asparagus","Avoid"
"Avocado","Enjoy"
"Avocado Oil","Enjoy"
"Balsamic Vinegar","Enjoy"
"Bamboo Shoots","Enjoy"
"Banana","Enjoy"
"Barley","Avoid"
"Basil","Enjoy"
"Bay Leaf","Enjoy"
"Bee Pollen","Superfood"
"Beech Mushroom","Superfood"
"Beef (Fatty)","Avoid"
"Beef (Lean)","Avoid"
"Beet Greens","Enjoy"
"Beet Sprouts","Avoid"
"Beets","Enjoy"
"Bell Pepper","Enjoy"
"Bilberry","Enjoy"
"Bitter Melon","Enjoy"
"Black Beans","Avoid"
"Black Beluga Lentils","Enjoy"
"Black Eyed Peas","Enjoy"
"Black Pepper","Enjoy"
"Black Tea","Enjoy"
"Blackberry","Enjoy"
"Blue Cheese","Enjoy"
"Blueberry","Enjoy"
"Bok Choy","Minimize"
"Bone Broth (Beef)","Superfood"
"Bone Broth (Fish)","Superfood"
"Bone Broth (Poultry)","Enjoy"
"Boysenberry","Enjoy"
"Brazil Nuts","Enjoy"
"Breadfruit","Minimize"
"Broccoli","Avoid"
"Broccoli Sprouts","Avoid"
"Brown Lentils","Enjoy"
"Brown Rice","Enjoy"
"Brussels Sprouts","Avoid"
"Buckwheat","Avoid"
"Buffalo Meat","Avoid"
"Bulgur","Avoid"
"Burdock Root","Enjoy"
"Butter (Cow Milk)","Enjoy"
"Cabbage","Avoid"
"Cane Sugar","Minimize"
"Cantaloupe","Enjoy"
"Capers","Enjoy"
"Caraway Seed","Enjoy"
"Cardamom","Enjoy"
"Cardoon","Enjoy"
"Carob","Enjoy"
"Carp","Enjoy"
"Carrot","Enjoy"
"Cashew Milk","Enjoy"
"Cashews","Avoid"
"Cassava","Enjoy"
"Catfish","Enjoy"
"Cauliflower","Minimize"
"Caviar or Roe","Enjoy"
"Cayenne Pepper","Enjoy"
"Celeriac","Enjoy"
"Celery","Enjoy"
"Celery Seed","Enjoy"
"Chamomile Tea","Enjoy"
